x,in,out
10000,0,0
20000,0,0
30000,0,0
40000,0,0
50000,319.1777778,319.1777778
60000,922.9777778,922.9777778
70000,549.6444444,549.6444444
80000,431.0444444,431.0444444
90000,402.4666667,402.4666667
100000,411.7111111,411.7111111
110000,415.2888889,415.2888889
120000,394.6222222,394.6222222
130000,379.1111111,379.1111111
140000,367.0888889,367.0888889
150000,345.9555556,345.9555556
160000,334.9111111,334.9111111
170000,339,339
180000,328.6444444,328.6444444
190000,327.7555556,327.7555556
200000,327.3555556,327.3555556
210000,374.6666667,374.6666667
220000,339.1555556,339.1555556
230000,347.9555556,347.9555556
240000,375.6888889,375.6888889
250000,402.3111111,402.3111111
260000,414.8888889,414.8888889
270000,431.6444444,431.6444444
280000,434.4222222,434.4222222
290000,495.8444444,495.8666667
300000,473.6222222,473.6444444
310000,501.8,501.8
320000,476.8666667,476.8666667
330000,486.7555556,486.7555556
340000,526.6222222,526.6222222
350000,496.6,496.6
360000,524.9555556,524.9555556
370000,483.7555556,483.7555556
380000,535,535
390000,518.2888889,518.2888889
400000,492.8,492.8
410000,483.0222222,483.0222222
420000,502.9555556,502.9555556
430000,541.5555556,541.5555556
440000,490.2222222,490.2222222
450000,488.7777778,488.7777778
460000,509.3333333,509.3333333
470000,520.3333333,520.3333333
480000,505.8888889,505.8888889
490000,501.6666667,501.6666667
500000,532.3111111,532.3111111
510000,529.1333333,529.1333333
520000,508.6444444,508.6444444
530000,544.4,544.4
540000,532.5111111,532.5111111
550000,463.6888889,463.6888889
560000,481.9555556,481.9555556
570000,490.7555556,490.7555556
580000,523.3555556,523.3555556
590000,501.2222222,501.2222222
600000,498.3555556,498.3555556
610000,0,0
620000,0,0
630000,0,0
640000,0,0
650000,0,0
660000,0,0
670000,0,0
680000,0,0
690000,0,0
700000,0,0
710000,0,0
720000,0,0
730000,0,0
740000,0,0
750000,0,0
760000,0,0
770000,0,0
780000,0,0
790000,0,0
800000,0,0
810000,0,0
820000,0,0
830000,0,0
840000,0,0
850000,0,0
860000,0,0
870000,0,0
880000,0,0
890000,0,0
900000,0,0
910000,0,0
920000,0,0
930000,0,0
940000,0,0
950000,0,0
960000,0,0
970000,0,0
980000,0,0
990000,0,0
